date,cpi,fed_rate,unemployment,oil,gold,dxy,gdp,us10y,vix,gpr,indpro,neworder,cpi_yoy,fed_6m,unemp_6m,oil_yoy,gold_yoy,dxy_yoy,us10y_6m,vix_ratio,gpr_ratio,indpro_yoy,neworder_yoy,cluster,cluster_name,ym,cluster_new,cluster_name_new
2011-01-31,221.187,0.17,9.1,92.19000244140624,1333.800048828125,77.73999786376953,3.33900335400304,3.378000020980835,17.31549987792969,79.42161560058594,93.4814,60963.0,1.7007834915029774,-0.0099999999999999,-0.3000000000000007,26.478259313168163,23.15789924544089,-2.1646126862833404,0.4709999561309819,0.7760146715357905,0.9550815832970811,4.632504538708293,16.495002961915507,1.0,Growth Risk-On,2011-01,3,Inflation Shock
2011-02-28,221.898,0.16,9.0,96.97000122070312,1409.300048828125,76.88999938964844,3.33900335400304,3.4140000343322754,17.4299999036287,90.01448822021484,93.1102,59078.0,2.124898173333145,-0.03,-0.5,21.72984780670719,26.021638853091456,-4.318070177137523,0.9370000362396236,0.7963437301425411,1.072482199462646,3.827364378514675,10.450942267424468,1.0,Growth Risk-On,2011-02,3,Inflation Shock
2011-03-31,223.046,0.14,9.0,106.72000122070312,1438.9000244140625,75.86000061035156,3.33900335400304,3.4539999961853027,20.72347815140434,136.8883056640625,94.0788,62497.0,2.619241510354109,-0.0499999999999999,-0.5,27.41165054787085,29.24638114663413,-6.426543856031719,0.937000036239624,0.9362788584056212,1.5352774623691507,4.193025357503588,10.6396161948767,1.0,Growth Risk-On,2011-03,3,Inflation Shock
2011-04-30,224.093,0.1,9.1,113.93000030517578,1556.0,72.93000030517578,3.33900335400304,3.2960000038146973,16.244000005722047,91.01776885986328,93.7749,61562.0,3.0772344447868694,-0.09,-0.3000000000000007,32.24608042630381,31.85323550468022,-10.919753440193317,0.6840000152587891,0.7371735462042807,1.0186661620438089,3.505332834432129,17.74764263718609,1.0,Growth Risk-On,2011-04,3,Inflation Shock
2011-05-31,224.806,0.09,9.0,102.6999969482422,1535.9000244140625,74.63999938964844,3.33900335400304,3.049999952316284,16.911428587777273,105.34491729736328,93.888,63711.0,3.4589718808965,-0.1,-0.8000000000000007,38.84006388186725,26.70352138929355,-13.69103088307856,0.2530000209808349,0.8136749337354819,1.1612674494223527,2.248891889831528,11.262268170863754,1.0,Growth Risk-On,2011-05,3,Inflation Shock
2011-06-30,224.806,0.09,9.1,95.41999816894533,1502.300048828125,74.30000305175781,3.33900335400304,3.157999992370605,19.15318202972412,84.391845703125,94.172,63751.0,3.502318150636041,-0.09,-0.200000000000001,26.16686716147274,20.618229532567245,-13.624731514394073,-0.1470000743865971,0.9630967958387416,0.9407151142783334,2.3688810428642126,6.955792299303742,1.0,Growth Risk-On,2011-06,3,Inflation Shock
2011-07-31,225.395,0.07,9.0,95.6999969482422,1628.300048828125,73.9000015258789,3.33900335400304,2.805000066757202,19.22749991416931,78.92475891113281,94.636,64756.0,3.5798809769996165,-0.1,-0.0999999999999996,21.21596028810606,37.79301989590192,-9.369633681465396,-0.5729999542236328,0.993210668479978,0.8801468728498689,2.484132372991299,14.66515564684634,1.0,Growth Risk-On,2011-07,3,Inflation Shock
2011-08-31,226.106,0.1,9.0,88.80999755859375,1828.5,74.12999725341797,3.33900335400304,2.2179999351501465,35.02913035517154,86.95156860351562,95.2749,64464.0,3.75499603070808,-0.06,0.0,23.48442689051882,46.47920599831373,-10.901442340757017,-1.196000099182129,1.732754101425414,0.964320601042607,2.7992943499441703,10.717230008244028,1.0,Growth Risk-On,2011-08,3,Inflation Shock
2011-09-30,226.597,0.08,9.0,79.19999694824219,1620.4000244140625,78.55000305175781,3.33900335400304,1.924000024795532,36.52999977838425,83.35044860839844,95.1961,65581.0,3.812621692818685,-0.06,0.0,-0.9628664007842902,23.902734662385704,-0.215952955169163,-1.5299999713897707,1.7083210987303317,0.91409179494196,2.412383799676609,9.058103568696584,1.0,Growth Risk-On,2011-09,3,Inflation Shock
2011-10-31,226.75,0.07,8.8,93.19000244140624,1724.199951171875,76.16999816894531,3.33900335400304,2.174999952316284,32.82904770260765,76.33993530273438,95.8568,67427.0,3.5222681306640524,-0.03,-0.2999999999999989,14.441854466606172,27.05032659273608,-1.4235777428622365,-1.121000051498413,1.4641742745022226,0.8293651809997826,3.4162150732061747,17.307190452165134,1.0,Growth Risk-On,2011-10,3,Inflation Shock
