cluster_name_v2,Crisis,Disinflation Normal,Growth Risk-On,Inflation Shock
Crisis,0.8333333333333334,0.16666666666666666,0.0,0.0
Disinflation Normal,0.008928571428571428,0.9553571428571429,0.03571428571428571,0.0
Growth Risk-On,0.0,0.05454545454545454,0.9272727272727272,0.01818181818181818
Inflation Shock,0.0,0.08333333333333333,0.0,0.9166666666666666
