cluster_name_v2,Crisis,Disinflation Normal,Growth Risk-On,Inflation Shock
Crisis,0.5941610675439354,0.00744788689648835,0.36439980975810654,0.03399123580146933
Disinflation Normal,0.001625685760844876,0.3480705049249916,0.5897723974484308,0.06053141186573298
Growth Risk-On,0.007416269629411489,0.03159494986330879,0.800491276184268,0.16049750432301194
Inflation Shock,0.07326710684388389,0.005155780781847399,0.2624280902831662,0.6591490220911025
