cluster_name_v2,Crisis,Disinflation Normal,Growth Risk-On,Inflation Shock
Crisis,0.3582324088559194,0.018706079261852034,0.5215238619418658,0.10153764994036239
Disinflation Normal,0.010340644990821012,0.14011110034055663,0.6938675776624943,0.15568067700612856
Growth Risk-On,0.02215366907789725,0.037171477374776475,0.7042416533720391,0.2364332001752874
Inflation Shock,0.09378102340108262,0.01403009056071769,0.41278987296462344,0.47939901307357635
