cluster_name_v2,Crisis,Disinflation Normal,Growth Risk-On,Inflation Shock
Crisis,0.7703087421837421,0.0020129145408163264,0.21934710358259465,0.008331239692846834
Disinflation Normal,0.00010822510822510821,0.5826055248488284,0.4011198024032846,0.016166447639661925
Growth Risk-On,0.0018177250238938548,0.021488560843033102,0.881627473000404,0.09506624113266912
Inflation Shock,0.046401100735811475,0.001336237490864114,0.14943343575534396,0.8028292260179805
